         667560615 function calls (667559440 primitive calls) in 34.950 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 pathlib.py:651(_from_parts)
        8    0.000    0.000    0.000    0.000 pathlib.py:664(_from_parsed_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:674(_format_parsed_parts)
        6    0.000    0.000    0.000    0.000 pathlib.py:685(_make_child)
        4    0.000    0.000    0.000    0.000 pathlib.py:691(__str__)
        6    0.000    0.000    0.000    0.000 pathlib.py:89(join_parsed_parts)
        6    0.000    0.000    0.000    0.000 pathlib.py:898(__truediv__)
        2    0.000    0.000    0.000    0.000 pathlib.py:904(parent)
        1    0.000    0.000    0.000    0.000 pathlib.py:961(PurePosixPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:971(PureWindowsPath)
        1    0.000    0.000    0.000    0.000 pathlib.py:984(Path)
        2    0.000    0.000    0.000    0.000 pathlib.py:998(__new__)
        1    0.000    0.000    0.000    0.000 perm.py:10(Perm)
       73    0.001    0.000    0.002    0.000 perm.py:139(inverse)
       73    0.001    0.000    0.001    0.000 perm.py:143(<dictcomp>)
     1898    0.000    0.000    0.000    0.000 perm.py:161(<lambda>)
       73    0.004    0.000    0.018    0.000 perm.py:161(table_format)
     1898    0.001    0.000    0.001    0.000 perm.py:166(<lambda>)
     5694    0.003    0.000    0.004    0.000 perm.py:170(<genexpr>)
       73    0.002    0.000    0.008    0.000 perm.py:170(<listcomp>)
     1971    0.002    0.000    0.002    0.000 perm.py:172(<genexpr>)
     1971    0.002    0.000    0.002    0.000 perm.py:173(<genexpr>)
 53719154    1.578    0.000    3.602    0.000 perm.py:175(__getitem__)
     1302    0.042    0.000    0.117    0.000 perm.py:183(__mul__)
     1302    0.031    0.000    0.068    0.000 perm.py:190(<dictcomp>)
     1775    0.008    0.000    0.008    0.000 perm.py:28(__init__)
        1    0.000    0.000    0.000    0.000 perm.py:3(<module>)
      325    0.000    0.000    0.001    0.000 perm.py:35(from_cycle)
       74    0.003    0.000    0.010    0.000 perm.py:69(random)
        1    0.000    0.000    0.006    0.006 pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:1006(_Unpickler)
        1    0.000    0.000    0.001    0.001 pickle.py:181(<listcomp>)
        1    0.000    0.000    0.000    0.000 pickle.py:184(_Framer)
        1    0.000    0.000    0.000    0.000 pickle.py:220(_Unframer)
        1    0.000    0.000    0.000    0.000 pickle.py:345(_Pickler)
        1    0.000    0.000    0.000    0.000 pickle.py:64(PickleError)
        1    0.000    0.000    0.000    0.000 pickle.py:68(PicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:75(UnpicklingError)
        1    0.000    0.000    0.000    0.000 pickle.py:88(_Stop)
 50910624    1.721    0.000    8.954    0.000 quadgram_metric.py:23(rolling_slice)
        1    0.171    0.171    0.212    0.212 quadgram_metric.py:3(<module>)
 50909248   16.992    0.000   21.837    0.000 quadgram_metric.py:38(get_quadgram_score)
254546240    4.845    0.000    4.845    0.000 quadgram_metric.py:47(<genexpr>)
     1376    0.001    0.000    0.001    0.000 quadgram_metric.py:50(letters_to_integers)
 50914752    1.650    0.000    6.718    0.000 quadgram_metric.py:55(<genexpr>)
     1376    0.821    0.001   35.841    0.026 quadgram_metric.py:58(quadgram_score)
 50910624    4.228    0.000   35.019    0.000 quadgram_metric.py:75(<genexpr>)
        1    0.000    0.000    0.116    0.116 random.py:1(<module>)
    24925    0.012    0.000    0.017    0.000 random.py:230(_randbelow)
       74    0.003    0.000    0.007    0.000 random.py:270(shuffle)
       71    0.012    0.000    0.029    0.000 random.py:292(sample)
        1    0.000    0.000    0.000    0.000 random.py:675(SystemRandom)
        1    0.000    0.000    0.000    0.000 random.py:71(Random)
        1    0.000    0.000    0.000    0.000 random.py:87(__init__)
        1    0.000    0.000    0.000    0.000 random.py:96(seed)
      102    0.000    0.000    0.001    0.000 re.py:169(match)
        4    0.000    0.000    0.003    0.001 re.py:231(compile)
        1    0.000    0.000    0.000    0.000 re.py:249(escape)
      106    0.000    0.000    0.004    0.000 re.py:286(_compile)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 selectors.py:205(_BaseSelectorImpl)
        1    0.000    0.000    0.000    0.000 selectors.py:290(SelectSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:343(PollSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:394(EpollSelector)
        1    0.000    0.000    0.000    0.000 selectors.py:59(_SelectorMapping)
        1    0.000    0.000    0.000    0.000 selectors.py:79(BaseSelector)
